date,open_etf,close_etf,high_etf,low_etf,volume_etf,turnover,amplitude,pct_change,chg,turnover_rate,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest,中国:国债收益率:10年,中国:国债收益率:1年,中债国债到期收益率:5年,中债国债到期收益率:30年,中债国开债到期收益率:10年,SHIBOR:3个月,R007,利率互换:FR007:1年
2024-12-16,114.341,114.655,114.699,114.341,705557,8087335057,0.31,0.4,0.459,15.47,108.41,108.62,108.395,108.545,1181,237,1.7204,1.1362,1.4176,1.9526,1.7838,1.725,1.952,1.4736
2024-12-17,114.53,114.448,114.53,114.305,790942,9048397555,0.2,-0.18,-0.207,17.34,108.47,108.53,108.315,108.46,1234,1048,1.7309,1.1245,1.4417,1.9591,1.7888,1.718,2.0969,1.5053
2024-12-18,114.541,114.243,114.689,113.913,356201,4072494788,0.68,-0.18,-0.205,7.81,108.52,108.64,108.115,108.34,942,1242,1.7169,1.0927,1.4515,1.9961,1.8238,1.715,1.9114,1.4879
2024-12-19,114.37,114.251,114.424,114.19,615158,7031301589,0.2,0.01,0.008,13.49,108.285,108.415,108.195,108.38,379,1325,1.7458,1.0506,1.4161,1.9926,1.8063,1.712,1.8218,1.4862
2024-12-20,114.55,114.678,114.686,114.516,656408,7521561774,0.15,0.37,0.427,14.39,108.545,108.775,108.53,108.77,345,1512,1.7235,0.9751,1.3727,1.9526,1.7613,1.708,1.7526,1.4428
2024-12-23,115.011,114.809,115.06,114.687,364508,4186477283,0.33,0.11,0.131,7.99,108.925,108.995,108.615,108.63,818,1804,1.6856,0.8769,1.3915,1.9526,1.7613,1.705,1.7103,1.4234
2024-12-24,114.747,114.576,114.865,114.555,408196,4684432222,0.27,-0.2,-0.233,8.95,108.59,108.76,108.43,108.5,471,1945,1.6994,0.8297,1.4199,1.9926,1.7888,1.6985,1.7042,1.4296
2024-12-25,114.591,114.506,114.682,114.461,312537,3579472444,0.19,-0.06,-0.07,6.85,108.565,108.565,108.33,108.39,206,1999,1.7319,0.8982,1.4591,2.007,1.8083,1.693,1.9587,1.4555
2024-12-26,114.525,114.372,114.641,114.361,563731,6452637489,0.24,-0.12,-0.134,12.36,108.525,108.525,108.225,108.32,395,2141,1.7345,0.9478,1.437,1.9701,1.7713,1.6922,2.075,1.457
2024-12-27,114.666,114.772,114.781,114.527,628089,7204381687,0.22,0.35,0.4,13.77,108.455,108.675,108.44,108.675,351,2265,1.705,1.0073,1.4059,1.9476,1.7563,1.69,2.1384,1.4468
2024-12-30,114.78,114.745,114.786,114.67,308283,3537274219,0.1,-0.02,-0.027,6.76,108.56,108.61,108.375,108.41,140,2263,1.7056,1.0523,1.4413,1.9476,1.7563,1.685,2.1713,1.4695
2024-12-31,114.97,115.032,115.08,114.91,374330,4305510957,0.15,0.25,0.287,8.21,108.55,108.73,108.55,108.7,558,2299,1.6774,1.0895,1.4152,1.9121,1.7263,1.6855,2.2281,1.4611
