date,open,high,low,close,volume,open_interest
2024-12-16,108.41,108.62,108.395,108.545,1181,237
2024-12-17,108.47,108.53,108.315,108.46,1234,1048
2024-12-18,108.52,108.64,108.115,108.34,942,1242
2024-12-19,108.285,108.415,108.195,108.38,379,1325
2024-12-20,108.545,108.775,108.53,108.77,345,1512
2024-12-23,108.925,108.995,108.615,108.63,818,1804
2024-12-24,108.59,108.76,108.43,108.5,471,1945
2024-12-25,108.565,108.565,108.33,108.39,206,1999
2024-12-26,108.525,108.525,108.225,108.32,395,2141
2024-12-27,108.455,108.675,108.44,108.675,351,2265
2024-12-30,108.56,108.61,108.375,108.41,140,2263
2024-12-31,108.55,108.73,108.55,108.7,558,2299
2025-01-02,108.82,109.045,108.76,109.015,268,2341
2025-01-03,109.13,109.23,108.99,109.195,801,2336
2025-01-06,109.11,109.2,108.9,109.17,627,2382
2025-01-07,109.165,109.18,108.98,109.12,289,2379
2025-01-08,109.1,109.245,109.03,109.19,503,2445
2025-01-09,109.195,109.205,108.915,108.93,430,2425
2025-01-10,108.6,108.955,108.42,108.955,1726,2686
2025-01-13,108.9,108.93,108.68,108.84,427,2706
2025-01-14,108.74,108.97,108.74,108.95,553,2745
2025-01-15,109.035,109.18,109.035,109.125,135,2756
2025-01-16,109.08,109.225,108.99,109.16,260,2835
2025-01-17,109.215,109.245,108.925,108.925,367,2917
2025-01-20,108.935,109.055,108.87,108.985,574,2999
2025-01-21,108.99,109.115,108.845,109.11,556,3048
2025-01-22,109.12,109.19,109.065,109.07,203,3074
2025-01-23,109.095,109.14,109.015,109.1,530,3073
2025-01-24,109.01,109.105,108.9,109.105,372,3175
2025-01-27,109.15,109.375,109.15,109.37,408,3221
2025-02-05,109.35,109.455,109.295,109.455,734,3571
2025-02-06,109.495,109.575,109.415,109.55,333,3680
2025-02-07,109.6,109.61,109.45,109.455,596,3962
2025-02-10,109.32,109.345,109.22,109.255,935,3989
2025-02-11,109.255,109.38,109.235,109.35,723,4119
2025-02-12,109.35,109.41,109.205,109.205,978,4380
2025-02-13,109.205,109.31,109.11,109.185,531,4431
2025-02-14,109.185,109.185,108.815,108.95,1690,4325
2025-02-17,108.815,108.95,108.72,108.73,1633,4860
2025-02-18,108.69,108.815,108.36,108.645,2145,5268
2025-02-19,108.71,108.745,108.57,108.74,1581,5758
2025-02-20,108.695,108.755,108.41,108.44,1935,6199
2025-02-21,108.495,108.525,108.105,108.165,3554,7109
2025-02-24,108.145,108.27,107.68,107.875,4641,8065
2025-02-25,108.05,108.245,107.565,108.09,5859,8775
2025-02-26,108.17,108.47,108.12,108.21,7218,10478
2025-02-27,108.21,108.31,108.005,108.1,4570,11539
2025-02-28,108.14,108.32,107.945,108.285,5631,12060
2025-03-03,108.28,108.57,108.19,108.495,5589,12337
2025-03-04,108.575,108.65,108.315,108.425,4387,12562
2025-03-05,108.495,108.58,108.425,108.53,2912,12710
2025-03-06,108.43,108.435,108.175,108.27,3408,12623
2025-03-07,108.035,108.065,107.565,107.615,6992,12953
2025-03-10,107.57,107.825,107.51,107.685,2947,12930
2025-03-11,107.645,107.66,107.215,107.245,3598,13253
2025-03-12,107.145,107.71,107.025,107.655,5636,13442
2025-03-13,107.56,107.77,107.535,107.62,3445,13426
2025-03-14,107.505,107.74,107.34,107.565,4364,13453
2025-03-17,107.315,107.475,107.035,107.05,4905,13907
2025-03-18,107.14,107.34,107.05,107.17,4570,14170
2025-03-19,107.3,107.365,107.12,107.185,3038,14214
2025-03-20,107.4,107.56,107.365,107.475,3253,14515
2025-03-21,107.475,107.52,107.3,107.37,4189,15009
2025-03-24,107.33,107.55,107.22,107.53,4075,15126
2025-03-25,107.705,107.81,107.59,107.615,3236,14959
2025-03-26,107.58,107.9,107.55,107.9,2336,15199
2025-03-27,107.86,108.015,107.785,107.83,3805,15389
2025-03-28,107.805,108.08,107.805,107.915,5915,15719
2025-03-31,107.88,108.055,107.835,107.895,4176,16004
2025-04-01,107.92,107.98,107.77,107.795,2949,16289
2025-04-02,107.795,108.075,107.795,108.07,3737,16430
2025-04-03,108.35,108.655,108.32,108.61,6587,15896
2025-04-07,109.12,109.21,108.92,109.2,6686,15461
2025-04-08,109.1,109.155,108.94,108.945,5872,16721
2025-04-09,109.05,109.32,109.0,109.085,8472,16922
2025-04-10,108.99,109.215,108.845,109.07,6574,18017
2025-04-11,109.225,109.295,108.935,109.04,6676,18735
2025-04-14,108.925,109.145,108.88,109.145,5089,19599
2025-04-15,109.1,109.17,109.035,109.065,4324,20613
2025-04-16,109.155,109.305,109.015,109.235,11145,24744
2025-04-17,109.345,109.345,109.05,109.09,11917,28931
2025-04-18,109.15,109.2,109.02,109.145,8037,30626
2025-04-21,109.035,109.14,108.885,108.93,7506,31330
2025-04-22,108.98,109.1,108.98,109.1,5382,32354
2025-04-23,109.02,109.02,108.84,108.92,8679,33318
2025-04-24,108.925,109.065,108.84,108.845,9607,35883
2025-04-25,108.86,109.035,108.82,108.92,11001,37632
2025-04-28,109.0,109.095,108.87,109.01,10634,40352
2025-04-29,109.175,109.245,109.06,109.245,11868,45364
2025-04-30,109.21,109.25,109.1,109.145,10677,46932
2025-05-06,109.1,109.275,109.08,109.215,10311,50098
2025-05-07,109.135,109.275,108.935,109.02,26531,54128
2025-05-08,109.13,109.3,109.115,109.215,20546,62488
2025-05-09,109.27,109.345,109.165,109.215,22002,69213
2025-05-12,109.065,109.235,108.525,108.725,47986,77328
2025-05-13,108.79,108.9,108.745,108.89,43058,86981
2025-05-14,108.865,108.875,108.64,108.69,42711,94743
2025-05-15,108.74,108.74,108.57,108.695,38179,100297
2025-05-16,108.61,108.69,108.48,108.65,51878,109113
2025-05-19,108.64,108.84,108.635,108.83,60025,125036
2025-05-20,108.885,108.945,108.78,108.84,76231,142998
2025-05-21,108.895,108.895,108.72,108.835,52668,149750
2025-05-22,108.84,108.96,108.77,108.815,65126,156071
2025-05-23,108.775,108.88,108.69,108.85,63496,163964
2025-05-26,108.89,108.935,108.825,108.855,52310,166526
2025-05-27,108.88,108.89,108.705,108.735,58575,165848
2025-05-28,108.7,108.785,108.635,108.73,49829,168138
2025-05-29,108.61,108.62,108.455,108.475,72334,166334
2025-05-30,108.65,108.76,108.63,108.725,62469,164631
2025-06-03,108.7,108.75,108.65,108.685,42868,167327
2025-06-04,108.72,108.775,108.62,108.765,55709,170547
2025-06-05,108.72,108.86,108.695,108.72,64481,169240
2025-06-06,108.82,108.93,108.81,108.925,54263,177112
2025-06-09,108.97,109.04,108.91,109.0,60635,182042
2025-06-10,109.0,109.03,108.945,108.995,47942,184969
2025-06-11,109.05,109.12,109.0,109.045,47080,187358
2025-06-12,109.05,109.08,108.96,108.995,49392,188181
2025-06-13,109.03,109.075,108.965,109.02,60457,191046
2025-06-16,109.04,109.095,108.98,109.015,49941,194978
2025-06-17,109.0,109.17,108.965,109.16,69095,206159
2025-06-18,109.125,109.165,109.085,109.14,48250,203959
2025-06-19,109.17,109.19,109.1,109.135,46048,205808
2025-06-20,109.105,109.205,109.1,109.15,50456,212559
2025-06-23,109.16,109.19,109.095,109.155,49489,212428
2025-06-24,109.15,109.15,109.015,109.025,51169,207169
2025-06-25,109.04,109.115,108.935,108.995,73376,205081
2025-06-26,108.995,109.035,108.925,108.95,52163,202431
2025-06-27,108.98,109.1,108.955,109.045,68735,204393
2025-06-30,109.025,109.045,108.88,108.895,77133,196973
2025-07-01,108.925,109.01,108.91,109.005,63387,199030
2025-07-02,109.03,109.13,109.03,109.13,57955,206519
2025-07-03,109.15,109.155,109.0,109.105,64924,206020
2025-07-04,109.09,109.145,109.085,109.1,60839,214140
2025-07-07,109.125,109.175,109.085,109.105,49192,216298
2025-07-08,109.105,109.105,108.97,109.02,61895,208754
2025-07-09,109.02,109.05,108.96,109.05,59539,203681
2025-07-10,109.015,109.03,108.83,108.845,77570,202427
2025-07-11,108.845,108.865,108.705,108.83,91046,197468
2025-07-14,108.775,108.78,108.655,108.73,69204,198439
