date,open_etf,close_etf,high_etf,low_etf,volume_etf,turnover,amplitude,pct_change,chg,turnover_rate,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest
2024-12-16,114.341,114.655,114.699,114.341,705557,8087335057.0,0.31,0.4,0.459,15.47,108.41,108.62,108.395,108.545,1181,237
2024-12-17,114.53,114.448,114.53,114.305,790942,9048397555.0,0.2,-0.18,-0.207,17.34,108.47,108.53,108.315,108.46,1234,1048
2024-12-18,114.541,114.243,114.689,113.913,356201,4072494788.0,0.68,-0.18,-0.205,7.81,108.52,108.64,108.115,108.34,942,1242
2024-12-19,114.37,114.251,114.424,114.19,615158,7031301589.0,0.2,0.01,0.008,13.49,108.285,108.415,108.195,108.38,379,1325
2024-12-20,114.55,114.678,114.686,114.516,656408,7521561774.0,0.15,0.37,0.427,14.39,108.545,108.775,108.53,108.77,345,1512
2024-12-23,115.011,114.809,115.06,114.687,364508,4186477283.0,0.33,0.11,0.131,7.99,108.925,108.995,108.615,108.63,818,1804
2024-12-24,114.747,114.576,114.865,114.555,408196,4684432222.0,0.27,-0.2,-0.233,8.95,108.59,108.76,108.43,108.5,471,1945
2024-12-25,114.591,114.506,114.682,114.461,312537,3579472444.0,0.19,-0.06,-0.07,6.85,108.565,108.565,108.33,108.39,206,1999
2024-12-26,114.525,114.372,114.641,114.361,563731,6452637489.0,0.24,-0.12,-0.134,12.36,108.525,108.525,108.225,108.32,395,2141
2024-12-27,114.666,114.772,114.781,114.527,628089,7204381687.0,0.22,0.35,0.4,13.77,108.455,108.675,108.44,108.675,351,2265
2024-12-30,114.78,114.745,114.786,114.67,308283,3537274219.0,0.1,-0.02,-0.027,6.76,108.56,108.61,108.375,108.41,140,2263
2024-12-31,114.97,115.032,115.08,114.91,374330,4305510957.0,0.15,0.25,0.287,8.21,108.55,108.73,108.55,108.7,558,2299
2025-01-02,115.26,115.478,115.521,115.185,535213,6178894659.0,0.29,0.39,0.446,11.74,108.82,109.045,108.76,109.015,268,2341
2025-01-03,115.8,115.551,115.89,115.365,466971,5400152246.0,0.45,0.06,0.073,10.24,109.13,109.23,108.99,109.195,801,2336
2025-01-06,115.65,115.799,115.8,115.6,364008,4212924305.0,0.17,0.21,0.248,7.98,109.11,109.2,108.9,109.17,627,2382
2025-01-07,115.782,115.768,115.799,115.654,404594,4683344832.0,0.13,-0.03,-0.031,8.87,109.165,109.18,108.98,109.12,289,2379
